videre,ve,sehen,vide,vid
deficere,vi,verlassen,defici,defeci
sentire,vi,fühlen,senti,sensi
perspicere,vi,erkennen,perspici,perspex
censere,ve,meinen,cense,censu
ridere,ve,lachen,ride,ri
commovere,ve,bewegen,commove,commov
permovere,ve,beunruhigen,permove,permov
perterrere,ve,sehr erschrecken,perterre,perterru
conducere,vk,zusammenführen,conduc,condux
movere,ve,bewegen,move,mov
procedere,vk,vorwärtsgehen,proced,process
abire,vi,weggehen,abe,abi
ducere,vk,sagen,dic,dix
barbarus,som,Ausländer,barbar,barbar
